tweet_id,author_id,text,created_at,response_tweet_id
768,Uber_Support,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,Tue Oct 31 22:28:17 +0000 2017,"769,770"
771,115872,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,Tue Oct 31 22:12:00 +0000 2017,768
773,115874,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm,Tue Oct 31 22:01:07 +0000 2017,772
775,115875,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg,Tue Oct 31 21:59:51 +0000 2017,774
777,115876,@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS,Tue Oct 31 21:58:10 +0000 2017,776
780,115878,@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,Tue Oct 31 21:59:34 +0000 2017,778
782,115878,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️,Tue Oct 31 21:40:20 +0000 2017,781
784,115880,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!",Tue Oct 31 22:11:47 +0000 2017,783
1793,116108,@Uber_Support I did. No response.,Tue Oct 31 23:46:02 +0000 2017,1795
1794,116108,@115873 wtf is this.. every time I try to use the app it gives me this crap https://t.co/sp7kMe0ogA,Tue Oct 31 22:18:04 +0000 2017,1792
1797,116109,@115877 your app and website still don’t work,Tue Oct 31 22:14:08 +0000 2017,1796
1800,116110,@115873 hi just for a ride and it seemed to think I wanted to go to my original location. I canceled trip but want to see about being credited,Tue Oct 31 22:07:08 +0000 2017,1798
1802,116111,"@Uber_Support I already dm y'all about 30 mins ago, check it out it is long and detailed.",Tue Oct 31 22:38:15 +0000 2017,1804
1803,116111,Bruh can someone at @115873 @Uber_Support get back to me on my Dms 😒😒😒😒,Tue Oct 31 22:19:10 +0000 2017,1801
1807,116112,.@Uber_Support My driver broke down. Any tips on getting a refund?,Tue Oct 31 22:13:49 +0000 2017,1806
1809,116113,@Uber_Support i do not see we're the trid if is listed on the app.. i sent in a few message,Tue Oct 31 22:01:31 +0000 2017,1808
